"id","commune","Hamon","Macron","Asselineau","Fillon","Cheminade","Lassalle","Mélenchon","Le.Pen","Arthaud","Dupont.Aignan","Poutou","Inscrits","Abstentions","Votants","Blancs","Nuls","Exprimés"
"77199","Fublaines",25,148,9,80,0,6,143,238,2,52,3,863,144,719,11,2,706
"77179","Féricy",28,103,3,88,1,1,96,59,0,18,1,455,48,407,2,7,398
"77180","Férolles-Attilly",26,174,6,234,0,5,70,148,1,35,2,877,160,717,12,4,701
"77200","Garentreville",1,11,0,22,0,0,15,20,0,5,0,82,8,74,0,0,74
"77201","Gastins",11,61,3,62,2,5,64,174,3,30,8,540,98,442,12,7,423
"77203","Germigny-l'Evêque",27,167,6,262,1,12,126,219,2,79,5,1070,151,919,12,1,906
"77204","Germigny-sous-Coulombs",2,16,0,30,0,4,19,54,1,5,0,158,19,139,8,0,131
"77205","Gesvres-le-Chapitre",1,19,2,17,0,1,10,40,0,9,1,121,17,104,0,4,100
"77206","Giremoutiers",4,11,1,25,0,0,19,42,0,14,1,135,13,122,0,5,117
"77207","Gironville",3,26,1,12,0,1,15,29,0,9,2,132,32,100,1,1,98
"77208","Gouaix",31,137,11,111,3,9,130,252,3,51,10,963,199,764,10,6,748
"77209","Gouvernes",38,158,8,236,2,6,126,144,1,40,4,882,102,780,14,3,763
"77211","Grandpuits-Bailly-Carrois",26,77,8,85,1,5,79,215,3,30,6,668,108,560,18,7,535
"77212","Gravon",3,24,1,23,1,2,18,41,1,8,0,150,27,123,1,0,122
"77214","Gressy",25,161,7,216,1,6,61,97,2,40,2,722,94,628,9,1,618
"77215","Gretz-Armainvilliers",227,902,39,609,5,40,815,936,34,256,39,4954,949,4005,78,25,3902
"77216","Grez-sur-Loing",45,185,13,172,1,4,124,206,3,38,9,1009,187,822,17,5,800
"77217","Grisy-Suisnes",51,281,12,311,4,10,194,356,7,120,7,1747,364,1383,23,7,1353
"77218","Grisy-sur-Seine",2,16,0,14,1,1,3,27,0,6,3,95,20,75,2,0,73
"77220","Guercheville",7,27,0,47,0,3,25,57,2,18,2,212,18,194,4,2,188
"77221","Guermantes",37,243,3,200,1,0,133,104,5,30,6,905,129,776,12,2,762
"77222","Guignes",78,377,20,265,4,15,312,564,4,137,19,2299,467,1832,28,9,1795
"77223","Gurcy-le-Châtel",9,60,3,58,1,5,56,115,1,24,6,379,39,340,2,0,338
"77219","Guérard",54,313,18,292,2,7,223,368,1,105,10,1716,281,1435,33,9,1393
"77224","Hautefeuille",6,22,1,36,0,0,17,30,0,5,3,148,28,120,0,0,120
"77227","Hermé",20,68,1,53,0,2,51,129,2,37,9,447,67,380,7,1,372
"77228","Hondevilliers",8,24,3,36,1,0,38,45,1,11,3,215,38,177,3,4,170
"77226","Héricy",124,383,20,424,3,13,244,275,3,127,11,1928,276,1652,20,5,1627
"77230","Ichy",2,23,3,30,0,2,15,23,1,6,0,123,16,107,2,0,105
"77231","Isles-les-Meldeuses",27,79,7,58,0,3,97,120,0,26,6,529,97,432,9,0,423
"77232","Isles-lès-Villenoy",24,93,6,102,1,8,101,169,4,44,5,680,101,579,15,7,557
"77233","Iverny",7,47,4,57,0,3,43,118,1,13,0,340,39,301,7,1,293
"77234","Jablines",12,72,4,72,0,3,88,118,2,31,9,506,86,420,6,3,411
"77235","Jaignes",10,25,0,49,0,2,30,76,0,13,0,254,47,207,2,0,205
"77236","Jaulnes",9,23,2,58,0,2,20,95,0,15,4,282,47,235,3,4,228
"77237","Jossigny",24,96,5,81,1,1,43,83,1,15,2,440,82,358,4,2,352
"77238","Jouarre",91,311,24,348,7,22,390,626,7,115,14,2644,623,2021,48,18,1955
"77239","Jouy-le-Châtel",24,77,11,178,3,2,121,291,4,64,5,941,144,797,11,6,780
"77240","Jouy-sur-Morin",61,180,8,191,3,9,169,417,6,58,11,1512,373,1139,23,3,1113
"77241","Juilly",62,188,10,123,1,12,220,346,10,60,15,1332,245,1087,31,9,1047
"77242","Jutigny",9,43,1,45,0,4,54,115,0,14,5,348,51,297,0,7,290
"77054","La Brosse-Montceaux",21,55,5,64,2,6,80,140,2,32,4,551,122,429,5,13,411
"77063","La Celle-sur-Morin",30,126,12,151,1,7,134,228,4,48,5,899,137,762,14,2,746
"77086","La Chapelle-Gauthier",35,137,16,105,1,3,153,254,4,68,9,976,169,807,19,3,785
"77087","La Chapelle-Iger",6,15,0,37,0,1,9,37,0,4,0,129,19,110,0,1,109
"77093","La Chapelle-Moutils",9,33,0,63,1,1,40,80,0,17,1,287,38,249,2,2,245
"77089","La Chapelle-Rablais",16,94,5,83,0,5,87,208,1,39,5,632,74,558,12,3,543
